"","tourney_name","tourney_id","name","link","display"
"79","THE Buckeye Fall Novice Invitational",8268,"Prelims","https://hsquizbowl.org/db/tournaments/8268/stats/prelims/individuals","THE Buckeye Fall Novice Invitational <8268> - Prelims"
"80","THE Buckeye Fall Novice Invitational",8268,"Playoffs","https://hsquizbowl.org/db/tournaments/8268/stats/playoffs/individuals","THE Buckeye Fall Novice Invitational <8268> - Playoffs"
"81","THE Buckeye Fall Novice Invitational",8268,"Combined","https://hsquizbowl.org/db/tournaments/8268/stats/combined/individuals","THE Buckeye Fall Novice Invitational <8268> - Combined"
"82","Planes, Trains, and Automobiles @ Columbia",8267,"Prelims","https://hsquizbowl.org/db/tournaments/8267/stats/prelims/individuals","Planes, Trains, and Automobiles @ Columbia <8267> - Prelims"
"83","Planes, Trains, and Automobiles @ Columbia",8267,"All Games","https://hsquizbowl.org/db/tournaments/8267/stats/all_games/individuals","Planes, Trains, and Automobiles @ Columbia <8267> - All Games"
"84","Maine Quiz Bowl Alliance Season Starter Tournament II",8266,"Final Stats","https://hsquizbowl.org/db/tournaments/8266/stats/final_stats/individuals","Maine Quiz Bowl Alliance Season Starter Tournament II <8266> - Final Stats"
"85","Side Event Sunday @ Toronto",8264,"Ahead by a Century - Prelims","https://hsquizbowl.org/db/tournaments/8264/stats/ahead_by_a_century_-_prelims/individuals","Side Event Sunday @ Toronto <8264> - Ahead by a Century - Prelims"
"86","Side Event Sunday @ Toronto",8264,"Ahead by a Century - Playoffs","https://hsquizbowl.org/db/tournaments/8264/stats/ahead_by_a_century_-_playoffs/individuals","Side Event Sunday @ Toronto <8264> - Ahead by a Century - Playoffs"
"87","Side Event Sunday @ Toronto",8264,"Ahead by a Century - All Games","https://hsquizbowl.org/db/tournaments/8264/stats/ahead_by_a_century_-_all_games/individuals","Side Event Sunday @ Toronto <8264> - Ahead by a Century - All Games"
"88","Side Event Sunday @ Toronto",8264,"QBOWLOSM - All Games","https://hsquizbowl.org/db/tournaments/8264/stats/qbowlosm_-_all_games/individuals","Side Event Sunday @ Toronto <8264> - QBOWLOSM - All Games"
"89","Bronco Bowl V",8263,"Varsity (Prelims)","https://hsquizbowl.org/db/tournaments/8263/stats/varsity_%28prelims%29/individuals","Bronco Bowl V <8263> - Varsity (Prelims)"
